"area","species","time"
1,"Vulpes vulpes",0.876527777777778
1,"Vulpes vulpes",0.916724537037037
1,"Vulpes vulpes",0.502986111111111
1,"Vulpes vulpes",0.0143171296296296
1,"Vulpes vulpes",0.141030092592593
1,"Vulpes vulpes",0.164212962962963
1,"Vulpes vulpes",0.241979166666667
1,"Vulpes vulpes",0.0898842592592593
1,"Vulpes vulpes",0.922685185185185
1,"Vulpes vulpes",0.176157407407407
1,"Vulpes vulpes",0.264490740740741
1,"Vulpes vulpes",0.819259259259259
1,"Vulpes vulpes",0.0831828703703704
1,"Vulpes vulpes",0.303472222222222
1,"Vulpes vulpes",0.897534722222222
1,"Vulpes vulpes",0.160150462962963
1,"Vulpes vulpes",0.0594097222222222
1,"Vulpes vulpes",0.868043981481481
1,"Vulpes vulpes",0.960208333333333
1,"Vulpes vulpes",0.80556712962963
1,"Vulpes vulpes",0.814722222222222
1,"Vulpes vulpes",0.813194444444444
1,"Meles meles",0.858275462962963
1,"Meles meles",0.885173611111111
1,"Meles meles",0.0554282407407407
1,"Meles meles",0.988854166666667
1,"Lynx lynx",0.124016203703704
1,"Lynx lynx",0.988391203703704
1,"Capreolus capreolus",0.359189814814815
1,"Capreolus capreolus",0.509722222222222
1,"Capreolus capreolus",0.338645833333333
1,"Capreolus capreolus",0.398483796296296
1,"Capreolus capreolus",0.720150462962963
1,"Capreolus capreolus",0.515972222222222
1,"Capreolus capreolus",0.389583333333333
1,"Capreolus capreolus",0.3625
1,"Capreolus capreolus",0.553472222222222
1,"Vulpes vulpes",0.801215277777778
1,"Vulpes vulpes",0.0475462962962963
1,"Vulpes vulpes",0.736111111111111
1,"Vulpes vulpes",0.1625
1,"Vulpes vulpes",0.7134375
1,"Vulpes vulpes",0.8059375
1,"Vulpes vulpes",0.0638888888888889
1,"Vulpes vulpes",0.795671296296296
1,"Vulpes vulpes",0.834085648148148
1,"Vulpes vulpes",0.0168634259259259
1,"Vulpes vulpes",0.19130787037037
1,"Vulpes vulpes",0.767361111111111
1,"Vulpes vulpes",0.167361111111111
1,"Vulpes vulpes",0.868287037037037
1,"Vulpes vulpes",0.292928240740741
1,"Vulpes vulpes",0.9875
1,"Vulpes vulpes",0.854340277777778
1,"Vulpes vulpes",0.00555555555555556
1,"Vulpes vulpes",0.917384259259259
1,"Vulpes vulpes",0.912210648148148
1,"Vulpes vulpes",0.259027777777778
1,"Vulpes vulpes",0.811469907407407
1,"Vulpes vulpes",0.964652777777778
1,"Vulpes vulpes",0.80625
1,"Vulpes vulpes",0.76837962962963
1,"Vulpes vulpes",0.262638888888889
1,"Vulpes vulpes",0.921446759259259
1,"Vulpes vulpes",0.212951388888889
1,"Vulpes vulpes",0.772916666666667
1,"Vulpes vulpes",0.98181712962963
1,"Vulpes vulpes",0.222847222222222
1,"Vulpes vulpes",0.929108796296296
1,"Vulpes vulpes",0.864618055555556
1,"Vulpes vulpes",0.794918981481481
1,"Vulpes vulpes",0.96875
1,"Vulpes vulpes",0.13125
1,"Vulpes vulpes",0.261412037037037
1,"Vulpes vulpes",0.336689814814815
1,"Vulpes vulpes",0.891516203703704
1,"Vulpes vulpes",0.281944444444444
1,"Vulpes vulpes",0.786805555555556
1,"Vulpes vulpes",0.832708333333333
1,"Vulpes vulpes",0.27525462962963
1,"Vulpes vulpes",0.956944444444444
1,"Vulpes vulpes",0.03125
1,"Vulpes vulpes",0.313194444444444
1,"Vulpes vulpes",0.819363425925926
1,"Vulpes vulpes",0.338194444444444
1,"Vulpes vulpes",0.895543981481482
1,"Vulpes vulpes",0.201331018518519
1,"Vulpes vulpes",0.259027777777778
1,"Vulpes vulpes",0.900011574074074
1,"Vulpes vulpes",0.845833333333333
1,"Vulpes vulpes",0.967384259259259
